"","Coup","Emx2","Fgf8","Pax6","Sp8"
"E950_416",0.0743686713378316,0.000387227746418912,1.22675813445142,2.19853382834715,2.30629303222484
"E388_201",0.109152135749237,0.0430681650876457,1.36109598214174,1.50372880220917,1.07775465050633
"E984_309",0.00235876945175352,0.0143185207487287,2.00903945832419,1.64808880758796,2.27308329870863
"E408_137",2.36183663255434,0.208232789405556,0.00308559922714245,0.00874025420139482,0.043632232526776
"E181_67",1.06164390581995,0.0274827056980497,0.0533077027810754,0.337521054371662,0.235663114932722
"E1905_215",2.22247716922895,0.414328406121426,0.00843133860749263,0.078481586854407,0.0239079971557295
"E1487_496",0.0045245735933472,0.062123867701226,2.04477648540444,2.00868395979335,1.83511878806065
"E26_253",0.0215803313764243,0.0856065729176361,2.58354055306146,1.86861562592754,1.77661840047492
"E1615_111",0.568353084756401,0.00550733755841077,0.182015224786263,1.28731564313964,0.571097165612289
"E135_262",2.10390553975044,2.46413200202066,0.0266966460445921,0.00512489183046177,0.00322792320064686
"E1894_350",0.0240656606006268,0.0197634485644714,2.6367522657091,2.13728681918765,2.09061529244149
"E1424_100",2.16333290461079,0.0117748329779905,0.00747352132805434,0.00136720889654828,0.0538114019766943
"E1061_209",1.44304124313276,0.112540047720047,0.11654316608665,0.0624504801261702,0.00283771931524198
"E882_482",0.000496586864236344,0.104253986096525,2.11493807185039,2.13648542044692,1.88590028620581
"E917_12",0.00251657756290229,0.000280223929889845,1.13367627616155,0.00372165466851636,1.34967262307688
"E230_426",0.0106326450792081,0.0772723758271196,2.62139780276683,2.14825555978412,1.93944489303274
"E1628_458",0.00502595552245277,0.103022486796144,3.72529434646519,1.70951893208056,2.51989899760678
"E1245_245",1.68259265631717,2.6015656564644,0.0044875965286101,0.0728214680940835,0.00538887360268255
"E952_238",0.0414690531190682,0.0169064093132783,2.62991817883757,2.30186330510848,2.22275393372053
"E1828_423",1.97644534322828,1.88176705646974,0.00129607028696273,0.0441949246443237,0.0211287779413022
"E442_51",0.00128966456200977,2.11382767775119e-05,0.326942966639675,0.195577255053271,1.39086111348471
"E310_64",0.466338813976951,0.0211382937822789,0.189553758699927,0.173371846283935,1.28990456701097
"E1322_238",0.0259870876973215,0.0298810575188306,1.48997360390961,1.89319917914497,2.0174244892283
"E1629_483",2.35513982905411,1.95261598261102,0.0229923448060262,0.0140649801189859,0.00111836985318947
"E289_203",0.0344589603287712,0.00387296752203115,2.13647594507437,2.06704534213766,2.37406284411964
"E1340_453",0.0325915091639268,0.00100126548661596,2.29303456323145,2.53079340736392,1.83752660777274
"E673_169",1.93236317619078,0.954685220148046,0.00102297677373816,0.153599750515274,0.0278489761159769
"E21_372",0.0150539130913009,0.008021771272046,1.79031129486601,2.87492253369739,2.94383198937998
"E304_99",1.65652909064748,0.000961545800755962,0.0741630819882141,0.155055264004544,0.71611780887393
"E1375_172",0.0072312663531484,0.0416664636480528,2.57969998528573,1.56175410566488,2.59146146864375
"E529_76",0.122885473871785,0.0702332396685438,0.0408442156941509,0.0647406077220019,2.3288482350866
"E1000_483",0.0318421953775412,0.016513015892036,2.02193926337543,1.75527080098254,1.72032279431999
"E1974_252",0.00774320918295081,0.0102875017361139,1.77255592854456,3.22289351824513,2.14838431746798
"E1842_478",0.00116514656991274,0.00349128689361824,2.18974844151037,2.01572053101278,1.35390169291369
"E1854_462",0.00336566097848679,0.0018067312514841,1.87145352486457,1.85314849953494,2.61535215681057
"E336_172",0.0628903257851988,0.0150523706506394,2.64644212611,2.25408300131955,2.17587145134208
"E928_31",0.0256677086383038,0.00578674611467292,0.0853466780613537,0.0184086680902762,2.88355306623004
"E472_97",0.51628227545204,0.0377914118577616,0.306343650440598,0.876636490426921,0.0617626244213127
"E423_195",0.00559156792977187,0.0124083191609308,2.09696409493686,2.41055159048371,1.86493554548726
"E1267_192",0.0229823856653167,0.00486209224331927,1.68246704462923,1.71686644644805,1.96024315270043
"E1930_233",0.00236343417182804,0.0130029642957388,1.71309585043945,1.87702873055042,1.8004252113457
"E1881_214",2.1080582785912,1.28461051740738,0.01091981154972,0.0326125842524983,0.0244511067531432
"E464_54",0.001191457418784,0.00362676887354557,1.13701150656018,0.555776443551596,1.99786302154011
"E239_344",1.9276351731805,2.37365152929721,0.0330195701882236,0.00649576487715329,0.0201394204418287
