,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cebpa,1.5212904,-0.010668181,1.1565652,-0.02378957,-0.004448262,-0.013421822,-0.002399986,1.4550604,0.4832672,-0.003681016,-0.00837053,-0.008227979,-0.0012140865,-0.00021433501,1.7063916,0.023590364
EgrNab,1.2553233,-0.010533179,-0.000985692,-0.01560557,0.33860514,-0.0065575815,-0.004447103,0.81173587,-0.0053550187,-0.001964171,-0.012939044,-0.007345227,0.17055103,-0.002815519,1.2488987,1.0602007
Eklf,-0.004881308,0.25902873,3.0113578,-0.02883289,-0.0038547895,-0.023431063,-0.008120056,2.9166791,2.3919613,-0.0031008695,-0.0039799516,0.7470269,-0.004275704,-0.010266742,2.3307655,-0.015528508
Fli1,-0.004791126,0.2593696,3.071928,-0.029329708,-0.0034371403,-0.024854466,-0.008025457,2.9095235,2.4445584,-0.003010209,-0.0043911454,0.7576825,-0.0042469995,-0.010971684,2.3723423,-0.01503271
Fog1,-0.0035475167,0.30831814,3.1235156,-0.02882432,-0.0031287798,-0.02463265,-0.0076752887,2.9304028,2.4615557,-0.003346682,-0.00378402,0.60445523,-0.004662399,-0.009457162,2.3036988,-0.016036661
Gata1,-0.00043269544,0.035545856,2.513743,-0.029014725,-0.0049952623,-0.018797109,-0.008115274,2.3255818,2.1418045,-0.003218705,-0.0034428143,0.3571911,-0.003592038,-0.006973143,1.8783665,-0.014647775
Gata2,-0.005825343,0.3460127,2.6632733,-0.028706755,-0.0021045683,-0.020078082,-0.0072961324,2.696561,2.0720797,-0.0015719804,-0.007045908,0.6577123,-0.0094714,-0.008892197,2.2933784,-0.017648188
Gfi1,1.6329936,-0.013207424,0.34397554,-0.018452818,0.07600687,-0.008111472,-0.0023107352,1.0850514,-0.0045008883,-0.0032572406,-0.012773345,-0.010223823,0.052988812,-0.000711521,1.6732692,1.0273219
Pu1,1.6279515,-0.009739737,1.4445164,-0.023250386,-0.0063175648,-0.011983845,-0.0016034405,1.6503382,0.5303969,-0.0055587017,-0.009763356,-0.010223044,-0.003150913,0.12705627,1.6985121,0.06022784
Scl,-0.0032158361,0.20077972,3.1503198,-0.02984353,-0.0034819618,-0.025240516,-0.007658929,2.8187053,2.4522393,-0.0030297425,-0.004126647,0.6330798,-0.004862849,-0.010153197,2.3434706,-0.0143287415
cJun,1.4043698,-0.0116281705,0.0839709,-0.01662668,0.18578795,-0.0070229215,-0.0038670497,0.95793897,-0.0049172863,-0.0022592605,-0.012705624,-0.008604868,0.15417859,-0.002047311,1.4276451,1.0573739
