"","Dbx1","Dbx2","Irx3","Nkx22","Nkx61","Nkx62","Olig2","Pax6"
"E470_467",1.87776029188352,2.52240752130085,1.35517849398613,0.0380750557711776,0.0297460957336863,0.0144098600117612,0.0252560076927176,1.94209732808314
"E1543_357",0.051531210674852,0.0090837111939959,0.00487003243253207,0.00549826016665008,1.55017525887243,0.0647288356883785,2.27323727084498,2.13477955119948
"E1276_77",0.730984725834855,0.0355478337890675,0.0653702586133511,0.118150160802419,1.64431425987683,0.0712552783079075,2.05761013703597,1.62432439440547
"E711_151",0.0219414914392798,0.00495542239502202,1.82390958887724,0.094168519694206,1.59923487869905,0.0269102594176108,0.0170599938404428,1.84315029403181
"E484_266",0.0184972138292323,0.00881944157422991,0.686183407424091,2.46803428428619,1.78461635216898,0.0516359201108368,0.887988554560612,0.760713135609959
"E1772_384",0.0325537066546451,0.00666388186338674,0.0182417168789253,0.0151274720058436,1.95455194334196,0.0860944205651162,2.02371509175166,2.31215582633856
"E1861_490",0.14294015503114,1.37015333040309,1.67396271210832,0.00366855454866666,0.039009788823615,1.7903077214065,0.064198791322069,1.88334741032459
"E995_394",0.00687553752873986,0.0284662057145597,0.0120438691620058,1.80836023583005,2.36416386189978,0.00373006448156068,0.00141108834391937,0.0164117357937459
"E1467_2",0.936080813740232,0.906657141824278,0.791070466005666,0.873931627671012,1.06242309225188,1.09985219069792,1.07130243876191,0.851227735359874
"E1811_307",0.00234980689216007,0.0300281780096457,0.0160555343576508,0.0117503499207097,2.40932809645252,0.0445779063703247,2.41228615959553,1.76395198447245
"E977_184",1.37160294398171,1.83230191856394,2.25958978829383,0.012850780869095,0.0730771698765813,1.50273603573443,0.153437814249717,2.04423943630334
"E809_349",0.0798581539994109,0.134983044532305,1.8451807452443,0.0646413750586188,1.77007097650406,0.0786441351590026,0.000420375858871251,2.4286607862988
"E1247_255",0.0607163034363685,0.19040913634833,1.30063005490497,0.00236978135222116,1.86993825167053,0.0699604974273153,0.0658230151658852,0.973198483447443
"E775_497",0.00549516960208355,0.0230268696365884,0.026972283343495,0.110403403176589,2.65329713799013,0.00242141731673059,1.69860516790768,1.5027762232831
"E1273_152",0.0172724747855037,0.0188883851449348,0.249545159075376,0.342918867442122,1.9269596910892,0.0345420160850657,1.77411710200139,1.49263873188177
"E105_442",0.00457809751723994,0.0101043126077948,2.47862829320466,0.0741920176910104,1.90346873516696,0.0306016190475684,0.0597425184102984,1.89924285724611
"E1681_164",0.29684940909906,0.317128040417786,1.62364666613187,0.0153135873541097,1.99569747531028,0.0556193620479143,0.498355648330123,1.75644996640863
"E1567_448",0.0218139197263407,0.0221708333805276,0.0181953220767219,1.89261717157677,1.74888968587234,0.00491602193371213,0.0299568228607952,0.00452533528161116
"E335_180",0.883461916442426,1.81725894346354,2.28004896769414,0.00115265497316807,0.0910727841766366,2.10233908575056,0.00137074336900748,2.0840562344124
"E27_149",1.0547221044972,1.46887957649965,1.74851708821899,0.0101434745756107,0.013452473761111,1.9433627103412,0.0213046849229547,2.14498513195095
"E88_363",0.000362325505035932,0.0319137753329026,0.0140490141405433,1.93796962524329,2.53338541234437,0.0391703974820436,0.02859775687655,0.00212237992436354
"E1195_387",0.0110587987113072,0.00134614719586107,0.00265988504178354,2.23776911204368,1.52615895462524,0.00108079511920971,0.0112531837254224,0.0231941921603206
"E785_293",0.00321613469454103,0.0209300054897808,0.00241774238041803,0.0236259053609559,1.79626503199374,0.00431592992884811,1.58129570779764,2.35871470197547
"E1815_201",0.0356200732293142,0.0207979043578961,0.00161921807558396,1.50406346403368,2.22173933186971,0.0224073417739141,0.00970343989521504,0.00386200364959856
"E191_383",0.0428637185157353,0.00215707271576403,0.0342619475723206,1.32560539772046,1.85564453734163,0.012302540067978,0.0333173369520536,0.0260528494977334
"E180_34",0.470653132938052,0.378194208599971,1.01536643297208,0.29136799798603,1.29074151635336,0.365935002077541,0.573537685232268,1.45188311624145
