TF_idx,Target_idx,Label,Score,TF_name,Target_name
482,284,0,0.9994873,GATA3,CRTAM
482,570,1,0.99948704,GATA3,HIVEP3
482,917,0,0.99948704,GATA3,MAMSTR
482,432,1,0.99948704,GATA3,FBXO16
482,1534,0,0.99948704,GATA3,TBC1D4
482,1498,0,0.99948704,GATA3,STMN3
482,87,0,0.99948704,GATA3,ATF7IP2
482,451,1,0.99948704,GATA3,FILIP1L
482,312,1,0.99948704,GATA3,DCDC2
482,1059,0,0.99948704,GATA3,NOL4L
482,278,1,0.99948704,GATA3,CRADD
482,132,0,0.99948704,GATA3,BRF1
482,903,0,0.99948704,GATA3,LTBP4
482,49,1,0.99948704,GATA3,ANK3
482,475,0,0.99948704,GATA3,GALM
482,44,0,0.99948704,GATA3,ALOX5AP
482,550,0,0.99948704,GATA3,HDAC8
482,642,0,0.99948704,GATA3,IL6
482,639,0,0.99948704,GATA3,IL21R
482,1477,0,0.99948704,GATA3,SPON2
482,326,0,0.99948704,GATA3,DIAPH3
482,1620,0,0.99948704,GATA3,TRABD2A
482,164,0,0.99948704,GATA3,CACNA1H
482,1167,1,0.99948704,GATA3,PLA2G6
482,104,1,0.99948704,GATA3,B4GALNT3
482,1056,0,0.99948704,GATA3,NMT2
482,1335,0,0.99948704,GATA3,RUBCNL
482,598,1,0.99948704,GATA3,ICOS
482,1250,0,0.99948704,GATA3,PTPRM
482,283,0,0.99948704,GATA3,CRISPLD1
482,902,0,0.99948704,GATA3,LTBP3
482,1551,0,0.99948704,GATA3,TECR
482,886,1,0.99948704,GATA3,LRIG1
482,604,1,0.99948704,GATA3,IFNG
482,2,1,0.99948704,GATA3,ABCA5
482,1295,1,0.99948704,GATA3,RGS3
482,909,1,0.9994868,GATA3,MAF
482,1367,0,0.9994867,GATA3,SERPINE1
482,399,0,0.99944526,GATA3,ESR2
482,58,0,0.9993954,GATA3,ANO10
482,1021,1,0.9992902,GATA3,NCAM2
482,1531,0,0.998811,GATA3,TBC1D17
